"Français	English"
"- Moules à chocolats - Relais Desserts	Chocolate Moulds - Relais Desserts"
"- Moules à chocolats Pagode - Melia Hanoi	Pagoda Chocolate Moulds - Melia Hanoi"
"...comme en transfert	...and in transit"
"2 tailles - 95-137 cm	2 sizes — 95-137 cm"
"Actions non sécuritaires - ici, une lame de couteau	Unsafe actions — here, a knife blade"
"Appui sur les glissières, qui cassent	Leaning on the slides, which break"
"Attelage pour découpoirs	Cutter Frame"
"Avec son tube oblong, l'outil ne roule pas quand on les pose	Oblong tube prevents rolling when set down"
"Bac sous vide partiel breveté	Patented partial vacuum container"
"Bacs GN 1-6 à 2-1	GN 1/6 to 2/1 containers"
"Bacs de pré-trempage et de pré-tri des couverts	Pre-soaking and pre-sorting trays for cutlery"
"Besoin d'identification de la production. Les feuilles, les scotches ou les post-it volent, s'abîment…	Need to identify production. Papers, tape or post-its fly off or get damaged…"
"Besoin d'identification de zones (chaude - froide)	Need to identify zones (hot — cold)"
"Besoin d'incliner la cuve	Need to tilt the bowl"
"Besoin de faire tourner la cuve pour travailler les préparations	Need to rotate the bowl to work the preparations"
"Besoin de transporter d'autres formats de récipients	Need to transport other container formats"
"Brief	Brief"
"Brief - Créer un œuf de Pâques avec les codes du luxe et en intégrant le B de la marque	Brief — Create an Easter egg with luxury codes incorporating the brand's B"
"Buche - Sotheby's Paris	Yule Log - Sotheby's Paris"
"Butée sur la poignée pour maximiser l'effort	Stop on handle to maximise effort"
"Bûche - Fairmont Montreux	Yule Log - Fairmont Montreux"
"Carter de protection - mécanisme protégé, nettoyage au jet facile	Protective cover — protected mechanism, easy jet cleaning"
"Chariot de transport de sacs poubelle	Waste Bag Transport Trolley"
"Chariot de transport et stockage de bacs et couvercles	Container & Lid Transport Trolley"
"Chariot porte-cuve ATLAS	ATLAS Bowl Trolley"
"Chariot à chocolats - Le Ritz Le Comptoir	Chocolate Trolley - Le Ritz Le Comptoir"
"Chariots existants - pas de mise à hauteur, ne passent pas tous sous les cuves dans les batteurs	Existing trolleys — no height adjustment, don't all fit under mixer bowls"
"Chauffe-siphons	Siphon Warmer"
"Château de Noirieux	Château de Noirieux"
"Concept	Concept"
"Concept 1	Concept 1"
"Concept 2	Concept 2"
"Concept 3	Concept 3"
"Concept café - SIRHA Bake 2026	Coffee Concept - SIRHA Bake 2026"
"Concept initial	Initial Concept"
"Concepts	Concepts"
"Convient aussi pour le sel	Also suitable for salt"
"Crochets cassé - trou maison dans le manche pour accrocher l'outil au mur	Broken hook — DIY hole drilled in handle to hang tool on wall"
"Côté barista	Barista side"
"Côté convive	Guest side"
"Des chariots bricolés par les services techniques pour limiter les chutes	Trolleys improvised by technical staff to prevent tipping"
"Des hauteurs de travail perçues et validées par les utilisateurs	Working heights perceived and validated by users"
"Des lignes de débarrassage non adaptées ou systèmes D	Inadequate clearing lines or makeshift solutions"
"Des modules séparés pour composer son besoin	Separate modules to compose your needs"
"Des outils difficiles à nettoyer (recoins, cavités...)	Tools difficult to clean (nooks, cavities...)"
"Des poignées de préhension adaptées à toutes les tailles d'utilisateurs	Handles suited to all user sizes"
"Des poignées de préhension compactes pour toutes les tailles et qui isolent du froid	Compact handles for all sizes that insulate from cold"
"Des posistions non ergonomiques, asssociées à des ports de charges importantes	Non-ergonomic postures combined with heavy loads"
"Des positions non ergonomiques pour les enfants	Non-ergonomic postures for children"
"Des positions non ergonomiques pour les opérateurs sur des ports de charge importants	Non-ergonomic postures for operators handling heavy loads"
"Des préhensions multiples directement  adoptées par les utilisateurs	Multiple grips immediately adopted by users"
"Des roues diamètre 150 mm robustes - roulage facile, maniabilité perçue immédiatement par les utilisateurs	Robust 150 mm diameter wheels — easy rolling, manoeuvrability immediately felt by users"
